# container	index	ct	gold	crowns	vouchers	name	total gold	total crowns	total vouchers
House 28	23	1	100			Rough Block, Stone Brick	100		
House 28	24	1	100			Rough Block, Stone Brick	100		
House 28	25	1	100			Rough Block, Stone Brick	100		
House 28	26	1	100			Rough Block, Stone Brick	100		
House 28	27	1	100			Rough Block, Stone Brick	100		
House 28	28	1	100			Rough Block, Stone Brick	100		
House 28	29	1	100			Rough Block, Stone Brick	100		
House 28	30	1	100			Rough Block, Stone Brick	100		
House 28	31	1	100			Rough Block, Stone Brick	100		
House 28	32	1	100			Rough Block, Stone Brick	100		
House 28	33	1	100			Rough Block, Stone Brick	100		
House 28	34	1	1837.36			Nord Cauldron, Glazed	1837.36		
House 28	35	1	639.4			Nord Pot, Ceramic	639.4		
House 28	36	1		45		Common Barrel, Dry		45	
House 28	37	1	768.4			Nord Dresser, Braced	768.4		
House 28	38	1	1450.22			Nord Candleholder, Cup	1450.22		
House 28	39	1	100			Fern, Dead	100		
House 28	40	1	100			Fern, Dead	100		
House 28	41	1	100			Pebble, Stacked Weathered	100		
House 28	42	1	100			Pebble, Stacked Weathered	100		
House 28	43	1	2498.79			Fish, Large	2498.79		
House 28	44	1				Fish, Bass			
House 28	45	1	1021.33			Breton Sconce, Torch	1021.33		
House 28	46	1	5000			Hew's Bane Rug	5000		
House 28	47	1	217.12			Dark Elf Runner, Bordered	217.12		
House 28	48	1	199.5			Painting of Crags, Sturdy	199.5		
House 28	49	1	266.33			Painting of Creek, Sturdy	266.33		
House 28	50	1	200			Painting of Lakes, Sturdy	200		
House 28	51	1	214.25			Painting of Pasture, Sturdy	214.25		
House 28	52	1				Painting of Winter, Bolted			
House 28	53	1	2757.66			Nord Tapestry, Ship	2757.66		
House 28	54	1	2572.14			Nord Divider, Folding	2572.14		
House 28	55	1	3966.21			Nord Chandelier, Antler	3966.21		
House 28	56	1	6212.41			Nord Brazier, Hanging	6212.41		
House 28	57	1	4334.27			Nord Bookcase, Alcove	4334.27		
House 28	58	1	4158.97			Nord Chair, Lattice	4158.97		
House 28	59	1	4158.97			Nord Chair, Lattice	4158.97		
House 28	60	1	480			Common Candle, Set	480		
House 28	61	1	2775.2			Nord Table, Great	2775.2		
House 28	62	1	4158.97			Nord Chair, Lattice	4158.97		
House 28	63	1	4158.97			Nord Chair, Lattice	4158.97		
House 28	64	1	4158.97			Nord Chair, Lattice	4158.97		
House 28	65	1	2075.39			Nord Lantern, Hanging	2075.39		
House 28	66	1	2075.39			Nord Lantern, Hanging	2075.39		
House 28	67	1	100			Rough Firewood, Stack	100		
House 28	68	1	594.85			Nord Urn, Ceramic	594.85		
House 28	69	1	560.06			Lettuce, Display	560.06		
House 28	70	1	574.3			Pumpkin, Display	574.3		
House 28	71	1	561.06			Beets, Display	561.06		
House 28	72	1	633.29			Banana, Wax	633.29		
House 28	73	1	560.08			Carrots, Wax	560.08		
House 28	74	1	60			Sugar Pumpkin, Wax	60		
House 28	75	1	705.03			Ham, Display	705.03		
House 28	76	1	842.28			Cured Meat Pile	842.28		
House 28	77	1	2454.99			Bread Loaves, Round	2454.99		
House 28	78	1	2593.11			Sweetroll	2593.11		
House 28	79	1	2593.11			Sweetroll	2593.11		
House 28	80	1	2593.11			Sweetroll	2593.11		
House 28	81	1	560.06			Lettuce, Display	560.06		
House 28	82	1	943.15			Nord Counter, Long	943.15		
House 28	83	1	560.08			Carrots, Wax	560.08		
House 28	84	1	560.08			Carrots, Wax	560.08		
House 28	85	1	561.06			Beets, Display	561.06		
House 28	86	1	500			Kwama Mining for Fun and Profit	500		
House 28	87	1	500			Shad Astula Academy Handbook	500		
House 28	88	1	500			Dwemer Dungeons: What I Know	500		
House 28	89	1	500			A Pocket Guide to Mournhold	500		
House 28	90	1	500			Sanctioned Murder	500		
House 28	91	1	500			Rivers of Profit in Riften	500		
House 28	92	1	500			Common Plate, Setting	500		
House 28	93	1	500			Common Plate, Setting	500		
House 28	94	1	500			Common Plate, Setting	500		
House 28	95	1	500			Common Plate, Setting	500		
House 28	96	1	2500			Chef's Cleaver	2500		
House 28	97	1	499			Signed Contract	499		
House 28	98	1				Fish, Trout			
House 28	99	1	659			Sir Socks's Ball of Yarn	659		
House 28	100	1	100			Rough Block, Stone Brick	100		
House 28	101	1	550.3			Common Candles, Pair	550.3		
House 28	102	1	480			Common Candle, Set	480		
House 28	103	1	1803.72			Nord Streetlamps, Stone	1803.72		
House 28	104	1				Plaque, Large			
House 28	105	1	6212.41			Nord Brazier, Hanging	6212.41		
House 28	106	1	2643.16			Dark Elf Rug, Mossy	2643.16		
House 28	107	1	1021.33			Breton Sconce, Torch	1021.33		
House 28	108	1				Painting of Summer, Sturdy			
House 28	109	1				Painting of Jungle, Sturdy			
House 28	110	1	301.26			Common Inkwell, Practical	301.26		
House 28	111	1	395			Common Quill, Feather	395		
House 28	112	1	2775.2			Nord Table, Great	2775.2		
House 28	113	1	196.67			Painting of Spring, Sturdy	196.67		
House 28	114	1	387.5			Painting of Bridge, Bolted	387.5		
House 28	115	1	445.33			Painting of Great Ruins, Bolted	445.33		
House 28	116	1	1650			Nord Tapestry, Dragon	1650		
House 28	117	1	300			Painting of Autumn, Bolted	300		
House 28	118	1	200			Painting of Palms, Sturdy	200		
House 28	119	1	2075.39			Nord Lantern, Hanging	2075.39		
House 29	1	1	280000			Grymharth's Woe	280000		
House 29	2	1				Rough Candle, Pillar			
House 29	3	1	999.19			Nord Torch, Triple	999.19		
House 29	4	1	458.91			Nord Lantern, Cage	458.91		
House 29	5	1	500			The Living Gods	500		
House 29	6	1	500			The Judgment of Saint Veloth	500		
House 29	7	1	500			Legend of the Ghost Snake	500		
House 29	8	1	500			War of Two Houses	500		
House 29	9	1	500			Dark Ruins	500		
House 29	10	1	500			Clans of the Reach: A Guide	500		
House 29	11	1	500			Touch of the Worm's Tongue	500		
House 29	12	1	500			Songs of the Return, Volume 5	500		
House 29	13	1	500			The Road to Sovngarde	500		
House 29	14	1	500			Unexpected Allies	500		
House 29	15	1	500			Thenephan's Mysteries of Mead	500		
House 29	16	1	500			The Wandering Skald	500		
House 29	17	1	500			Songs of the Return, Volume 27	500		
House 29	18	1	500			Songs of the Return, Volume 49	500		
House 29	19	1	1450.22			Nord Candle, Tealight	1450.22		
House 29	20	1	2075.39			Nord Lantern, Hanging	2075.39		
House 29	21	1	2075.39			Nord Lantern, Hanging	2075.39		
House 29	22	1	2075.39			Nord Lantern, Hanging	2075.39		
House 29	23	1	999.19			Nord Torch, Triple	999.19		
House 29	24	1	999.19			Nord Torch, Triple	999.19		
House 29	25	1				Rough Candle, Pillar			
House 29	26	1				Rough Candle, Pillar			
House 29	27	1	1021.33			Breton Sconce, Torch	1021.33		
House 29	28	1	1021.33			Breton Sconce, Torch	1021.33		
House 30	1	1	1020000			Old Mistveil Manor	1020000		
House 30	2	1	2650.5418485838			Redoran Table Runner, Gilded Ochre	2650.5418485838		
House 30	3	1			35	Dye Station			35
House 30	4	1	20000			Sigil, Zenithar	20000		
House 30	5	1	1138.8316831683			Indoril Candelabra, Shrine	1138.8316831683		
House 30	6	1				Firelogs, Charred			
House 30	7	1				Firelogs, Flaming			
House 30	8	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	9	1	5417			Soul Gem, Grand	5417		
House 30	10	1	3000			Bottle, Liquor	3000		
House 30	11	1				Breton Mug, Full			
House 30	12	1	690			Lesser Soul Gem, Empty	690		
House 30	13	1				Soft Leather, Folded			
House 30	14	1	296.9917930373			Common Inkwell, Practical	296.9917930373		
House 30	15	1				Rough Candle, Tealight			
House 30	16	1	1300			Nord Lantern, Cage	1300		
House 30	17	1	100			Fern, Withering	100		
House 30	18	1	100			Sapling, Tender Autumn	100		
House 30	19	1	100			Sapling, Budding Red	100		
House 30	20	1	100			Sapling, Tender Autumn	100		
House 30	21	1	100			Fern, Dead	100		
House 30	22	1	100			Sapling, Tender Autumn	100		
House 30	23	1	1876.8335049895			Nord Streetlamps, Stone	1876.8335049895		
House 30	24	1	100			Fern, Dead	100		
House 30	25	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	26	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	27	1	1876.8335049895			Nord Streetlamps, Stone	1876.8335049895		
House 30	28	1	250			Sapling, Tender Harvest	250		
House 30	29	1	250			Sapling, Tender Harvest	250		
House 30	30	1	250			Sapling, Tender Harvest	250		
House 30	31	1	100			Sapling, Autumn Cluster	100		
House 30	32	1	250			Sapling, Tender Harvest	250		
House 30	33	1				Tree, Young Green Birch			
House 30	34	1	250			Tree, Towering Autumn Birch	250		
House 30	35	1	100			Trees, Young Autumn Birch	100		
House 30	36	1				Tree, Young Green Birch			
House 30	37	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	38	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	39	1	100			Tree, Young Juniper	100		
House 30	40	1	100			Tree, Sturdy Juniper	100		
House 30	41	1	100			Tree, Young Juniper	100		
House 30	42	1	100			Tree, Sturdy Juniper	100		
House 30	43	1	29500			Alchemy Station	29500		
House 30	44	1	26110.111111111			Blacksmithing Station	26110.111111111		
House 30	45	1	26610.95			Clothing Station	26610.95		
House 30	46	1	29750			Enchanting Station	29750		
House 30	47	1	28000			Provisioning Station	28000		
House 30	48	1	26779.972222222			Woodworking Station	26779.972222222		
House 30	49	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	50	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	51	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	52	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	53	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	54	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	55	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	56	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	57	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	58	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	59	1	100			Fern, Lush	100		
House 30	60	1	500			Pale Garden Flowers	500		
House 30	61	1		45		Flower Patch, Violets		45	
House 30	62	1	499			Orcish Bar, Long Block	499		
House 30	63	1	187.0072407987			Rough Platform, Stage	187.0072407987		
House 30	64	1	187.0072407987			Rough Platform, Stage	187.0072407987		
House 30	65	1	187.0072407987			Rough Platform, Stage	187.0072407987		
House 30	66	1	250			Flowers, Healthy Goldenrod	250		
House 30	67	1		45		Flowers, Golden Prairie		45	
House 30	68	1		45		Flowers, Violet Prairie		45	
House 30	69	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	70	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	71	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	72	1	499			Orcish Bar, Long Block	499		
House 30	73	1	499			Orcish Bar, Long Block	499		
House 30	74	1	2266.2078990451			Orcish Counter, Block	2266.2078990451		
House 30	75	1	187.0072407987			Rough Platform, Stage	187.0072407987		
House 30	76	1	100			Fern Plant, Vibrant	100		
House 30	77	1	100			Fern Plant, Vibrant	100		
House 30	78	1	100			Fern, Young Healthy	100		
House 30	79	1	100			Fern, Young Healthy	100		
House 30	80	1	100			Fern, Young Healthy	100		
House 30	81	1	100			Fern, Young Healthy	100		
House 30	82	1	100			Fern, Young Healthy	100		
House 30	83	1	100			Fern, Young Healthy	100		
House 30	84	1	100			Fern, Young Healthy	100		
House 30	85	1	100			Fern, Lush	100		
House 30	86	1	100			Fern, Lush	100		
House 30	87	1	100			Fern, Lush	100		
House 30	88	1	100			Fern, Lush	100		
House 30	89	1	100			Fern, Lush	100		
House 30	90	1	100			Fern, Lush	100		
House 30	91	1		45		Flower Patch, Violets		45	
House 30	92	1	500			Vibrant Garden Flowers	500		
House 30	93	1	500			Vibrant Garden Flowers	500		
House 30	94	1	500			Vibrant Garden Flowers	500		
House 30	95	1	500			Vibrant Garden Flowers	500		
House 30	96	1	500			Vibrant Garden Flowers	500		
House 30	97	1	500			Vibrant Garden Flowers	500		
House 30	98	1		45		Flowers, Violet Prairie		45	
House 30	99	1		45		Flowers, Golden Prairie		45	
House 30	100	1	250			Flowers, Healthy Goldenrod	250		
House 30	101	1	500			Pale Garden Flowers	500		
House 30	102	1	500			Pale Garden Flowers	500		
House 30	103	1	500			Pale Garden Flowers	500		
House 30	104	1	500			Pale Garden Flowers	500		
House 30	105	1	500			Pale Garden Flowers	500		
House 30	106	1	500			Pale Garden Flowers	500		
House 30	107	1	500			Pale Garden Flowers	500		
House 30	108	1	500			Pale Garden Flowers	500		
House 30	109	1	500			Pale Garden Flowers	500		
House 30	110	1	100			Trees, Young Autumn Birch	100		
House 30	111	1	5000			Culanda Stone, Glowing	5000		
House 30	112	1	881.081946681			Common Trough	881.081946681		
House 30	113	1	881.081946681			Common Trough	881.081946681		
House 30	114	1	881.081946681			Common Trough	881.081946681		
House 30	115	1	100			Fern, Lush	100		
House 30	116	1	100			Fern, Lush	100		
House 30	117	1	100			Fern, Lush	100		
House 30	118	1	100			Fern, Lush	100		
House 30	119	1	100			Fern, Lush	100		
House 30	120	1	100			Fern, Lush	100		
House 30	121	1	100			Fern, Lush	100		
House 30	122	1	500			Vibrant Garden Flowers	500		
House 30	123	1	500			Vibrant Garden Flowers	500		
House 30	124	1	500			Vibrant Garden Flowers	500		
House 30	125	1	500			Vibrant Garden Flowers	500		
House 30	126	1	500			Vibrant Garden Flowers	500		
House 30	127	1	500			Vibrant Garden Flowers	500		
House 30	128	1	500			Vibrant Garden Flowers	500		
House 30	129	1	500			Vibrant Garden Flowers	500		
House 30	130	1	500			Vibrant Garden Flowers	500		
House 30	131	1	500			Vibrant Garden Flowers	500		
House 30	132	1	500			Vibrant Garden Flowers	500		
House 30	133	1	500			Vibrant Garden Flowers	500		
House 30	134	1	500			Vibrant Garden Flowers	500		
House 30	135	1	500			Vibrant Garden Flowers	500		
House 30	136	1	500			Vibrant Garden Flowers	500		
House 30	137	1	4252.8331615252			Nord Chandelier, Antler	4252.8331615252		
House 30	138	1	5000			Culanda Stone, Glowing	5000		
House 30	139	1	4252.8331615252			Nord Chandelier, Antler	4252.8331615252		
House 30	140	1	2564.0052395774			Hlaalu Settee, Mossy Cushion	2564.0052395774		
House 30	141	1	1249			Khajiit Carpet, Sun	1249		
House 30	142	1	1300.4874783236			Hlaalu Cabinet, Open	1300.4874783236		
House 30	143	1				Breton Mug, Full			
House 30	144	1	3102.4221862607			Hlaalu Nightstand, Formal	3102.4221862607		
House 30	145	1	7500			Hlaalu Table, Formal Turtle	7500		
House 30	146	1	650			Papers, Stack	650		
House 30	147	1	395			Common Quill, Feather	395		
House 30	148	1				Scroll, Rolled			
House 30	149	1				Scroll, Bound			
House 30	150	1				Scroll, Bound			
House 30	151	1				Scroll, Rolled			
House 30	152	1	500			Pocket Change	500		
House 30	153	1	5000			Scales of Felonious Recompense	5000		
House 30	154	1	500			Pocket Change	500		
House 30	155	1	309.0964560296			Dark Elf Urn, Banded	309.0964560296		
House 30	156	1	309.0964560296			Dark Elf Urn, Banded	309.0964560296		
House 30	157	1	500			Pale Garden Flowers	500		
House 30	158	1	500			Pale Garden Flowers	500		
House 30	159	1	500			Pale Garden Flowers	500		
House 30	160	1	500			Pale Garden Flowers	500		
House 30	161	1	500			Pale Garden Flowers	500		
House 30	162	1	500			Pale Garden Flowers	500		
House 30	163	1	500			Pale Garden Flowers	500		
House 30	164	1	500			Pale Garden Flowers	500		
House 30	165	1		50		Books, Scattered Row		50	
House 30	166	1	5003.8045038048			Case of Vials	5003.8045038048		
House 30	167	1	6979.7236087594			Cabinet, Poisonmaker's	6979.7236087594		
House 30	168	1	1205.4585462361			Indoril Shelf, Long	1205.4585462361		
House 30	169	1	259.670728154			Khajiit Carpet, Crescent Moons	259.670728154		
House 30	170	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	171	1	3356.8670718553			Daedric Platform, Ashen	3356.8670718553		
House 30	172	1				Dark Elf Bed of Coals			
House 30	173	1	100			Rough Block, Dark Stone	100		
House 30	174	1	100			Rough Block, Dark Stone	100		
House 30	175	1	100			Rough Block, Dark Stone	100		
House 30	176	1	100			Rough Block, Dark Stone	100		
House 30	177	1	100			Rough Block, Dark Stone	100		
House 30	178	1	100			Rough Block, Dark Stone	100		
House 30	179	1	100			Rough Block, Dark Stone	100		
House 30	180	1	100			Rough Block, Dark Stone	100		
House 30	181	1	100			Rough Block, Dark Stone	100		
House 30	182	1	100			Rough Block, Dark Stone	100		
House 30	183	1				Plaque, Large			
House 30	184	1	296.9917930373			Common Lantern, Stationary	296.9917930373		
House 30	185	1	1300			Nord Lantern, Cage	1300		
House 30	186	1	4252.8331615252			Nord Chandelier, Antler	4252.8331615252		
House 30	187	1	4252.8331615252			Nord Chandelier, Antler	4252.8331615252		
House 30	188	1	5451			Redguard Bookcase, Full	5451		
House 30	189	1	5451			Redguard Bookcase, Full	5451		
House 30	190	1	5451			Redguard Bookcase, Full	5451		
House 30	191	1	4318.8276456452			Redguard Bookcase, Piled	4318.8276456452		
House 30	192	1	4318.8276456452			Redguard Bookcase, Piled	4318.8276456452		
House 30	193	1	3192.2315150585			Hlaalu Desk, Scholar's	3192.2315150585		
House 30	194	1	1205.4585462361			Hlaalu Shelf, Long	1205.4585462361		
House 30	195	1	1205.4585462361			Hlaalu Dresser, Scroll Drawers	1205.4585462361		
House 30	196	1	1205.4585462361			Hlaalu Shelf, Long	1205.4585462361		
House 30	197	1	1300.4874783236			Hlaalu Cabinet, Open	1300.4874783236		
House 30	198	1	1300.4874783236			Hlaalu Cabinet, Open	1300.4874783236		
House 30	199	1	7500			Hlaalu Table, Formal Turtle	7500		
House 30	200	1	2564.0052395774			Hlaalu Bench, Mossy Cushion	2564.0052395774		
House 30	201	1	2564.0052395774			Hlaalu Settee, Mossy Cushion	2564.0052395774		
House 30	202	1	7500			Hlaalu Table, Formal Turtle	7500		
House 30	203	1	105000			Jewelry Crafting Station	105000		
House 30	204	1	3839.1953056079			Ayleid Bookcase, Cluttered	3839.1953056079		
House 30	205	1	650			Papers, Stack	650		
House 30	206	1	690			Lesser Soul Gem, Empty	690		
House 30	207	1	690			Lesser Soul Gem, Empty	690		
House 30	208	1	1750			Common Soul Gem, Empty	1750		
House 30	209	1	19500			Soul Gem, Great	19500		
House 30	210	1	1300			Nord Lantern, Cage	1300		
House 30	211	1				Bounty Sheet: Orc Female			
House 30	212	1	2274.1269349816			Nord Lantern, Hanging	2274.1269349816		
House 30	213	1	3839.1953056079			Ayleid Bookcase, Cluttered	3839.1953056079		
House 30	214	1	2050			Hlaalu Banner, Floral	2050		
House 30	215	1	7352.7297805915			Dres Sewing Kit, Master's	7352.7297805915		
House 30	216	1	15923.029885702			Mortar and Pestle	15923.029885702		
House 30	217	1	3439.4700887852			Telvanni Table Runner, Gilded Azure	3439.4700887852		
House 30	218	1	1800			Hlaalu Bench, Polished	1800		
House 30	219	1	3049.3588912219			Hlaalu Nightstand, Scholar's	3049.3588912219		
House 30	220	1	3036.9195791209			Hlaalu Cannister, Trinket	3036.9195791209		
House 30	221	1	3928.1404544932			Hlaalu Armchair, Mossy Cushion	3928.1404544932		
House 30	222	1	2479.8930285829			Indoril Carpet, Grand Almalexia	2479.8930285829		
House 30	223	1	10000			Tools, Case	10000		
House 30	224	1	1567.2938138547			Indoril Footlocker, Fortified	1567.2938138547		
House 30	225	1	5003.8045038048			Case of Vials	5003.8045038048		
House 30	226	1	296.9917930373			Common Inkwell, Practical	296.9917930373		
House 30	227	1	9277.4673008847			Apparatus, Boiler	9277.4673008847		
House 30	228	1	9510.0744437419			Apparatus, Gem Calipers	9510.0744437419		
House 30	229	1	4872.2179353325			Mages Apparatus, Master	4872.2179353325		
House 30	230	1	881.081946681			Common Trough	881.081946681		
House 30	231	1	3439.4700887852			Telvanni Table Runner, Gilded Azure	3439.4700887852		
House 30	232	1	1750			Quality Fabric, Folded	1750		
House 30	233	1	685.0150193431			Hlaalu Boxes, Compact	685.0150193431		
House 30	234	1	993.9131966443			Dres Shelf, Block	993.9131966443		
House 30	235	1	7500			Hlaalu Table, Formal Turtle	7500		
House 42	1	1	3000			Saint Delyn Penthouse	3000		
House 46	1	1		14000		Linchal Grand Manor		14000	
House 46	2	1	2621.5853335405			Dark Elf Pillow, Roll	2621.5853335405		
House 46	3	1	250			Flower, Healthy Hibiscus	250		
House 46	4	1	4999			Wedding Blossoms, Blue	4999		
House 46	5	1	4999			Wedding Blossoms, Blue	4999		
House 46	6	1			250	Blacksmithing Station (Armor Master)			250
House 46	7	1	29750			Enchanting Station	29750		
House 46	8	1			250	Clothing Station (Armor Master)			250
House 46	9	1			250	Woodworking Station (Armor Master)			250
House 46	10	1	5000			Enchanter's Sign	5000		
House 46	11	1	100			Saplings, Twin Highland	100		
House 46	12	1	250			Tree, Vibrant Privet	250		
House 46	13	1	100			Fern, Lush	100		
House 46	14	1	100			Fern Plant, Vibrant	100		
House 46	15	1	100			Fern, Healthy Green	100		
House 46	16	1	305.2875091911			Common Post, Flag Pole	305.2875091911		
House 46	17	1	29500			Alchemy Station	29500		
House 46	18	1		30		Plant, Healthy White Hosta		30	
House 46	19	1	2500			Wedding Blossoms, Peach	2500		
House 46	20	1	2500			Wedding Blossoms, Peach	2500		
House 46	21	1	75000			Spirit Warden Azura Statue	75000		
House 46	22	1				Seashell, Starfish			
House 46	23	1			250	Blacksmithing Station (Noble's Conquest)			250
House 46	24	1			250	Clothing Station (Noble's Conquest)			250
House 46	25	1			250	Woodworking Station (Noble's Conquest)			250
House 46	26	1			250	Blacksmithing Station (Redistributor)			250
House 46	27	1			250	Clothing Station (Redistributor)			250
House 46	28	1			250	Woodworking Station (Redistributor)			250
House 46	29	1	2500			Wedding Blossoms, Peach	2500		
House 46	30	1	100			Saplings, Young Forest	100		
House 46	31	1	12000			Tree, Twisted White Cherry	12000		
House 46	32	1	100			Saplings, Squat Forest	100		
House 46	33	1		70		Tree, Forked Sturdy		70	
House 46	34	1	250			Tree, Sturdy Jungle	250		
House 46	35	1	100			Rough Block, Light Stone	100		
House 46	36	1			250	Blacksmithing Station (Orgnum's Scales)			250
House 46	37	1			250	Clothing Station (Orgnum's Scales)			250
House 46	38	1			250	Woodworking Station (Orgnum's Scales)			250
House 46	39	1			250	Blacksmithing Station (Kagrenac's Hope)			250
House 46	40	1			250	Clothing Station (Kagrenac's Hope)			250
House 46	41	1			250	Woodworking Station (Kagrenac's Hope)			250
House 46	42	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	43	1			250	Blacksmithing Station (Hunding's Rage)			250
House 46	44	1			250	Clothing Station (Hunding's Rage)			250
House 46	45	1			250	Woodworking Station (Hunding's Rage)			250
House 46	46	1			250	Blacksmithing Station (Law of Julianos)			250
House 46	47	1			250	Clothing Station (Law of Julianos)			250
House 46	48	1			250	Woodworking Station (Law of Julianos)			250
House 46	49	1			250	Blacksmithing Station (Magnus' Gift)			250
House 46	50	1			250	Clothing Station (Magnus' Gift)			250
House 46	51	1			250	Woodworking Station (Magnus' Gift)			250
House 46	52	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	53	1			250	Blacksmithing Station (Night Mother's Gaze)			250
House 46	54	1			250	Clothing Station (Night Mother's Gaze)			250
House 46	55	1			250	Woodworking Station (Night Mother's Gaze)			250
House 46	56	1			250	Blacksmithing Station (Morkuldin)			250
House 46	57	1			250	Clothing Station (Morkuldin)			250
House 46	58	1			250	Woodworking Station (Morkuldin)			250
House 46	59	1			250	Blacksmithing Station (Eternal Hunt)			250
House 46	60	1			250	Clothing Station (Eternal Hunt)			250
House 46	61	1			250	Woodworking Station (Eternal Hunt)			250
House 46	62	1			250	Blacksmithing Station (Twice-Born Star)			250
House 46	63	1			250	Clothing Station (Twice-Born Star)			250
House 46	64	1			250	Woodworking Station (Twice-Born Star)			250
House 46	65	1			250	Blacksmithing Station (Clever Alchemist)			250
House 46	66	1			250	Clothing Station (Clever Alchemist)			250
House 46	67	1			250	Woodworking Station (Clever Alchemist)			250
House 46	68	1			250	Blacksmithing Station (Pelinal's Aptitude)			250
House 46	69	1			250	Clothing Station (Pelinal's Aptitude)			250
House 46	70	1			250	Woodworking Station (Pelinal's Aptitude)			250
House 46	71	1			250	Blacksmithing Station (Seducer)			250
House 46	72	1			250	Clothing Station (Seducer)			250
House 46	73	1			250	Woodworking Station (Seducer)			250
House 46	74	1			250	Blacksmithing Station (Torug's Pact)			250
House 46	75	1			250	Clothing Station (Torug's Pact)			250
House 46	76	1			250	Woodworking Station (Torug's Pact)			250
House 46	77	1				Statue of Azura, Queen of Dawn and Dusk			
House 46	78	1				Statue of Azura's Moon			
House 46	79	1				Statue of Azura's Sun			
House 46	80	1	150000			Crimson Shard of Moonshadow	150000		
House 46	81	1	2705.4564736898			Daedric Candles, Group	2705.4564736898		
House 46	82	1				The Five Points of the Star			
House 46	83	1	3155.306333138			Daedric Candles, Ritual Set	3155.306333138		
House 46	84	1	848.1534836997			High Elf Bench, Curved	848.1534836997		
House 46	85	1	848.1534836997			High Elf End Table, Sturdy	848.1534836997		
House 46	86	1		750		Mists of the Hag Fen		750	
House 46	87	1	250			Tree, Large Twisted Ash	250		
House 46	88	1	250			Tree, Healthy Privet	250		
House 46	89	1		45		Flower Patch, Violets		45	
House 46	90	1	150			Painting of Winter, Bolted	150		
House 46	91	1	1100			Topiary, Pruned Cypress	1100		
House 46	92	1	1100			Topiary, Pruned Cypress	1100		
House 46	93	1				Hedge, Solid Arc			
House 46	94	1		45		Topiary, Strong Cypress		45	
House 46	95	1		45		Topiary, Strong Cypress		45	
House 46	96	1		45		Topiary, Strong Cypress		45	
House 46	97	1		45		Topiary, Strong Cypress		45	
House 46	98	1		45		Topiary, Strong Cypress		45	
House 46	99	1		45		Topiary, Strong Cypress		45	
House 46	100	1		45		Topiary, Strong Cypress		45	
House 46	101	1		45		Hedge, Dense High Wall		45	
House 46	102	1		45		Hedge, Dense High Wall		45	
House 46	103	1		45		Topiary, Strong Cypress		45	
House 46	104	1		45		Topiary, Strong Cypress		45	
House 46	105	1	1300			Hedge, Dense Low Wall	1300		
House 46	106	1		45		Topiary, Strong Cypress		45	
House 46	107	1		45		Topiary, Strong Cypress		45	
House 46	108	1		45		Topiary, Strong Cypress		45	
House 46	109	1		45		Topiary, Strong Cypress		45	
House 46	110	1		45		Topiary, Strong Cypress		45	
House 46	111	1		45		Topiary, Strong Cypress		45	
House 46	112	1		45		Topiary, Strong Cypress		45	
House 46	113	1		45		Topiary, Strong Cypress		45	
House 46	114	1				Hedge, Solid Arc			
House 46	115	1		45		Hedge, Dense High Wall		45	
House 46	116	1		45		Hedge, Dense High Wall		45	
House 46	117	1		45		Hedge, Dense High Wall		45	
House 46	118	1		45		Hedge, Dense Low Arc		45	
House 46	119	1		45		Hedge, Dense Low Arc		45	
House 46	120	1		45		Topiary, Paired Cypress		45	
House 46	121	1		45		Topiary, Paired Cypress		45	
House 46	122	1				Tree, Strong Olive			
House 46	123	1				Tree, Strong Olive			
House 46	124	1				Tree, Strong Olive			
House 46	125	1				Tree, Strong Olive			
House 46	126	1				Tree, Kvatch Nut			
House 46	127	1				Tree, Kvatch Nut			
House 46	128	1				Tree, Kvatch Nut			
House 46	129	1				Tree, Kvatch Nut			
House 46	130	1				Tree, Kvatch Nut			
House 46	131	1	6091.1464449447			Breton Urn, Striated	6091.1464449447		
House 46	132	1		25		Sapling, Sparse Laurel		25	
House 46	133	1				Stone, Anvil Limestone			
House 46	134	1				Stone, Anvil Limestone			
